SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1097	SEEDGWAS1097.MRG.4.250067794	G8923	CIMMYTMA-002179	1943-02-10	7	5	1487	27.15888889	-105.2977778	13.6237534491139	CIMMYTMA
SEEDGWAS1098	SEEDGWAS1098.MRG.4.250067795	G9848	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1099	SEEDGWAS1099.MRG.4.250067796	G11030	CIMMYTMA-003015	1965-01-01	12	10	1050	-15	-49	56.9679489921989	CIMMYTMA
SEEDGWAS1100	SEEDGWAS1100.MRG.4.250067797	G11736	CIMMYTMA-003304	1958-11-22	7	5	1468	9.954306	-83.99449	14.0169270445761	CIMMYTMA
SEEDGWAS1101	SEEDGWAS1101.MRG.4.250067798	G11737	CIMMYTMA-003306	1958-11-22	7	5	673	9.358024	-83.665901	14.6108658496365	CIMMYTMA
SEEDGWAS1102	SEEDGWAS1102.MRG.4.250067799	G12023	CIMMYTMA-003486	1958-12-01	8	6	915	8.820336	-82.907759	15.5392731390833	CIMMYTMA
SEEDGWAS1103	SEEDGWAS1103.MRG.4.250067800	G12039	CIMMYTMA-003490	1958-12-01	8	6	535	9.21809	-83.402533	14.9081777110728	CIMMYTMA
SEEDGWAS1104	SEEDGWAS1104.MRG.4.250067802	G12047	CIMMYTMA-003498	1958-12-01	8	6	1300	8.884242	-82.776594	15.6156095428499	CIMMYTMA
SEEDGWAS1105	SEEDGWAS1105.MRG.4.250067803	G12488	CIMMYTMA-003652	1958-12-12	7	5	1704	14.100414	-87.105301	9.40906397858114	CIMMYTMA
SEEDGWAS1106	SEEDGWAS1106.MRG.4.250067804	G15997	CIMMYTMA-005210	1952-10-04	7	5	1901	15.344145	-90.859965	5.45483623071381	CIMMYTMA
SEEDGWAS1107	SEEDGWAS1107.MRG.4.250067805	G17558	CIMMYTMA-005842	1970-02-08	7	5	1512	16.233634	-97.28339	1.62987793479696	CIMMYTMA
