SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1742	SEEDGWAS1742.MRG.4.250062695	G29352	CIMMYTMA-025823	1951-01-01	7	5	28	21.96666667	-105.1333333	10.3094617878433	CIMMYTMA
SEEDGWAS1743	SEEDGWAS1743.MRG.4.250062696	G29353	CIMMYTMA-025825	1951-01-01	7	5	28	21.96666667	-105.1333333	10.3094617878433	CIMMYTMA
SEEDGWAS1755	SEEDGWAS1755.MRG.4.250062707	G2823	CIMMYTMA-000307		7	5	907	19.76666667	-104.35	8.74663449595837	CIMMYTMA
SEEDGWAS1756	SEEDGWAS1756.MRG.4.250062708	G2856	CIMMYTMA-000332	1945-06-02	7	5	907	19.76666667	-104.35	8.74663449595837	CIMMYTMA
SEEDGWAS176	SEEDGWAS176.MRG.4.250056137	G11702	CIMMYTMA-003276	1959-07-10	7	5	60	21.51666667	-98.38333333	4.92442877357366	CIMMYTMA
SEEDGWAS1761	SEEDGWAS1761.MRG.4.250062711	G3309	CIMMYTMA-000399	1943-02-09	7	5	1379	27.130649	-104.890933	13.3278796834427	CIMMYTMA
SEEDGWAS1766	SEEDGWAS1766.MRG.4.250062717	G5408	CIMMYTMA-000446	1952-01-29	7	5	1141	25.434457	-103.274676	10.9861619880534	CIMMYTMA
SEEDGWAS1767	SEEDGWAS1767.MRG.4.250062718	G5792	CIMMYTMA-000577	1946-01-01	7	5	1563	20.66666667	-103.3333333	8.11942129298636	CIMMYTMA
SEEDGWAS1777	SEEDGWAS1777.MRG.4.250062728	G7886	CIMMYTMA-001559	1946-11-29	7	5	1357	20.6	-98.76666667	4.38108302905169	CIMMYTMA
SEEDGWAS1778	SEEDGWAS1778.MRG.4.250062730	G8097	CIMMYTMA-001728	1944-01-01	7	5	1738	20.198115	-101.03832	5.86872437134962	CIMMYTMA
